Camera 1,2024-07-17 09:33:42,Empthy,99.99%
Camera 1,2024-07-17 09:34:42,Empthy,99.99%
Camera 1,2024-07-17 09:35:42,BlueWater,99.99%
Camera 1,2024-07-17 09:36:42,BlueWater,99.99%
Camera 1,2024-07-17 09:37:42,BlueWater,99.99%
Camera 1,2024-07-17 09:38:42,BlueWater,99.99%
Camera 1,2024-07-17 09:39:42,BlueWater,99.99%
Camera 1,2024-07-17 09:40:42,BlueWater,99.99%
Camera 1,2024-07-17 09:41:42,Water,99.99%
Camera 1,2024-07-17 09:42:42,Water,99.99%
Camera 1,2024-07-17 09:43:42,Water,99.99%
Camera 1,2024-07-17 09:44:42,Water,99.99%
Camera 1,2024-07-17 09:45:42,Water,99.99%
Camera 1,2024-07-17 09:46:42,Water,99.99%
Camera 2,2024-07-17 09:33:42,Empthy,99.99%
Camera 2,2024-07-17 09:34:42,Empthy,99.99%
Camera 2,2024-07-17 09:35:42,Empthy,99.99%
Camera 2,2024-07-17 09:36:42,Empthy,99.99%
Camera 2,2024-07-17 09:37:42,Empthy,99.99%
Camera 2,2024-07-17 09:38:42,Empthy,99.99%
Camera 2,2024-07-17 09:39:42,Empthy,99.99%
Camera 2,2024-07-17 09:40:42,Water,99.99%
Camera 2,2024-07-17 09:41:42,Water,99.99%
Camera 2,2024-07-17 09:42:42,Water,99.99%
Camera 2,2024-07-17 09:33:42,Water,99.99%


